RNG Seed:  999
Loading CelebA dataset (Download size: 1.4GB)
Files already downloaded and verified
CelebA loaded (162770 images)
Dataloader created: 1271 batches per epoch
Batch size: 128
Image size: 64 by 64
Total batches: 1271
[1/5][1050/1271]	Loss_D: 0.7151	Loss_G: 3.0203	D(x): 0.7111	D(G(z)): 0.2329 / 0.0791
[1/5][1100/1271]	Loss_D: 0.3745	Loss_G: 5.3672	D(x): 0.9272	D(G(z)): 0.2333 / 0.0074
[1/5][1150/1271]	Loss_D: 1.0548	Loss_G: 2.0643	D(x): 0.4667	D(G(z)): 0.0359 / 0.1975
[1/5][1200/1271]	Loss_D: 0.4603	Loss_G: 2.7426	D(x): 0.7224	D(G(z)): 0.0707 / 0.0950
[1/5][1250/1271]	Loss_D: 0.3158	Loss_G: 3.1145	D(x): 0.8318	D(G(z)): 0.0972 / 0.0626
[2/5][0/1271]	Loss_D: 0.6268	Loss_G: 2.1517	D(x): 0.6661	D(G(z)): 0.1033 / 0.1665
[2/5][50/1271]	Loss_D: 0.4458	Loss_G: 3.0646	D(x): 0.8146	D(G(z)): 0.1745 / 0.0693
[2/5][100/1271]	Loss_D: 0.8520	Loss_G: 1.5107	D(x): 0.5471	D(G(z)): 0.0395 / 0.2863
[2/5][150/1271]	Loss_D: 0.3199	Loss_G: 3.7923	D(x): 0.9207	D(G(z)): 0.1910 / 0.0350
[2/5][200/1271]	Loss_D: 0.5279	Loss_G: 4.3520	D(x): 0.8491	D(G(z)): 0.2558 / 0.0200
[2/5][250/1271]	Loss_D: 0.6677	Loss_G: 2.6722	D(x): 0.6312	D(G(z)): 0.0664 / 0.1255
[2/5][300/1271]	Loss_D: 1.2332	Loss_G: 2.4421	D(x): 0.4164	D(G(z)): 0.0365 / 0.1588
[2/5][350/1271]	Loss_D: 0.4418	Loss_G: 3.3181	D(x): 0.8515	D(G(z)): 0.2045 / 0.0508
[2/5][400/1271]	Loss_D: 0.6160	Loss_G: 4.6059	D(x): 0.9213	D(G(z)): 0.3697 / 0.0152
[2/5][450/1271]	Loss_D: 0.5258	Loss_G: 2.2315	D(x): 0.7057	D(G(z)): 0.0947 / 0.1486
[2/5][500/1271]	Loss_D: 0.5974	Loss_G: 1.9812	D(x): 0.6595	D(G(z)): 0.0997 / 0.1737
[2/5][550/1271]	Loss_D: 0.5096	Loss_G: 3.6177	D(x): 0.8820	D(G(z)): 0.2841 / 0.0361
[2/5][600/1271]	Loss_D: 2.3214	Loss_G: 6.0347	D(x): 0.9871	D(G(z)): 0.8653 / 0.0047
[2/5][650/1271]	Loss_D: 0.5656	Loss_G: 2.9370	D(x): 0.8799	D(G(z)): 0.3115 / 0.0726
[2/5][700/1271]	Loss_D: 0.4972	Loss_G: 2.8862	D(x): 0.8312	D(G(z)): 0.2267 / 0.0768
[2/5][750/1271]	Loss_D: 0.4525	Loss_G: 2.8781	D(x): 0.8305	D(G(z)): 0.1989 / 0.0754
[2/5][800/1271]	Loss_D: 1.8660	Loss_G: 0.4923	D(x): 0.2284	D(G(z)): 0.0076 / 0.6566
[2/5][850/1271]	Loss_D: 0.5628	Loss_G: 2.1557	D(x): 0.7344	D(G(z)): 0.1845 / 0.1525
[2/5][900/1271]	Loss_D: 0.6970	Loss_G: 1.8361	D(x): 0.6065	D(G(z)): 0.0788 / 0.2142
[2/5][950/1271]	Loss_D: 0.8318	Loss_G: 1.1400	D(x): 0.5230	D(G(z)): 0.0675 / 0.3891
[2/5][1000/1271]	Loss_D: 0.7572	Loss_G: 4.0314	D(x): 0.9146	D(G(z)): 0.4412 / 0.0256
[2/5][1050/1271]	Loss_D: 0.7843	Loss_G: 0.9457	D(x): 0.5511	D(G(z)): 0.0771 / 0.4534
[2/5][1100/1271]	Loss_D: 0.5575	Loss_G: 1.5401	D(x): 0.6532	D(G(z)): 0.0690 / 0.2565
[2/5][1150/1271]	Loss_D: 0.3866	Loss_G: 3.3532	D(x): 0.8413	D(G(z)): 0.1676 / 0.0517
[2/5][1200/1271]	Loss_D: 0.5032	Loss_G: 3.1743	D(x): 0.8800	D(G(z)): 0.2783 / 0.0569
[2/5][1250/1271]	Loss_D: 0.8653	Loss_G: 0.5358	D(x): 0.5073	D(G(z)): 0.0488 / 0.6401
[3/5][0/1271]	Loss_D: 0.5889	Loss_G: 2.7531	D(x): 0.8718	D(G(z)): 0.3153 / 0.0886
[3/5][50/1271]	Loss_D: 0.5748	Loss_G: 3.1300	D(x): 0.7816	D(G(z)): 0.2328 / 0.0673
[3/5][100/1271]	Loss_D: 0.6430	Loss_G: 1.5899	D(x): 0.6263	D(G(z)): 0.0981 / 0.2508
[3/5][150/1271]	Loss_D: 1.2184	Loss_G: 1.5343	D(x): 0.3962	D(G(z)): 0.0440 / 0.2921
[3/5][200/1271]	Loss_D: 0.8102	Loss_G: 1.2031	D(x): 0.5746	D(G(z)): 0.1243 / 0.3441
[3/5][250/1271]	Loss_D: 3.4773	Loss_G: 7.1828	D(x): 0.9671	D(G(z)): 0.9330 / 0.0020
[3/5][300/1271]	Loss_D: 0.4552	Loss_G: 2.6380	D(x): 0.8694	D(G(z)): 0.2415 / 0.0945
[3/5][350/1271]	Loss_D: 0.6930	Loss_G: 3.3227	D(x): 0.9002	D(G(z)): 0.3969 / 0.0536
[3/5][400/1271]	Loss_D: 0.9102	Loss_G: 3.9857	D(x): 0.8594	D(G(z)): 0.4761 / 0.0254
[3/5][450/1271]	Loss_D: 0.3947	Loss_G: 3.0378	D(x): 0.8657	D(G(z)): 0.2027 / 0.0596
[3/5][500/1271]	Loss_D: 0.5038	Loss_G: 2.0433	D(x): 0.7339	D(G(z)): 0.1489 / 0.1612
[3/5][550/1271]	Loss_D: 0.5387	Loss_G: 1.4795	D(x): 0.6947	D(G(z)): 0.1137 / 0.2661
[3/5][600/1271]	Loss_D: 0.4666	Loss_G: 2.7554	D(x): 0.8434	D(G(z)): 0.2304 / 0.0828
[3/5][650/1271]	Loss_D: 0.4541	Loss_G: 1.9615	D(x): 0.7465	D(G(z)): 0.1222 / 0.1765
[3/5][700/1271]	Loss_D: 1.3964	Loss_G: 4.8659	D(x): 0.9551	D(G(z)): 0.6906 / 0.0128
[3/5][750/1271]	Loss_D: 0.5713	Loss_G: 3.5942	D(x): 0.8732	D(G(z)): 0.3247 / 0.0374
[3/5][800/1271]	Loss_D: 0.5550	Loss_G: 1.6217	D(x): 0.7206	D(G(z)): 0.1584 / 0.2402
[3/5][850/1271]	Loss_D: 0.5316	Loss_G: 2.4701	D(x): 0.7951	D(G(z)): 0.2247 / 0.1053
[3/5][900/1271]	Loss_D: 0.7292	Loss_G: 3.7249	D(x): 0.8681	D(G(z)): 0.3909 / 0.0387
[3/5][950/1271]	Loss_D: 0.8707	Loss_G: 4.3595	D(x): 0.9227	D(G(z)): 0.5031 / 0.0218
[3/5][1000/1271]	Loss_D: 0.6176	Loss_G: 1.2436	D(x): 0.6210	D(G(z)): 0.0795 / 0.3468
